asv_id	Kingdom	Phylum	Class	Order	Family	Genus	ASV
ASV16024	Fungi	Zoopagomycota	Zoopagomycetes	Zoopagales	Piptocephalidaceae	Syncephalis	ASV16024
ASV16025	Fungi	Glomeromycota	Glomeromycetes	Glomerales	Glomeraceae	f_Glomeraceae	ASV16025
ASV16026	Fungi	Zoopagomycota	Zoopagomycetes	Zoopagales	o_Zoopagales	o_Zoopagales	ASV16026
ASV16027	Fungi	Basidiomycota	Agaricomycetes	Auriculariales	o_Auriculariales	o_Auriculariales	ASV16027
ASV16028	Fungi	Basidiomycota	Microbotryomycetes	Sporidiobolales	Sporidiobolaceae	Rhodotorula	ASV16028
ASV16029	Fungi	k_Fungi	k_Fungi	k_Fungi	k_Fungi	k_Fungi	ASV16029
ASV16030	Fungi	Glomeromycota	p_Glomeromycota	p_Glomeromycota	p_Glomeromycota	p_Glomeromycota	ASV16030
ASV16031	Fungi	Ascomycota	p_Ascomycota	p_Ascomycota	p_Ascomycota	p_Ascomycota	ASV16031
ASV16032	Fungi	k_Fungi	k_Fungi	k_Fungi	k_Fungi	k_Fungi	ASV16032
ASV16033	Fungi	Ascomycota	Sordariomycetes	Pleurotheciales	Pleurotheciaceae	f_Pleurotheciaceae	ASV16033
ASV16034	Fungi	Ascomycota	Leotiomycetes	Helotiales	Helotiaceae	Scytalidium	ASV16034
ASV16035	Fungi	Ascomycota	Sordariomycetes	c_Sordariomycetes	c_Sordariomycetes	c_Sordariomycetes	ASV16035
ASV16036	Fungi	Basidiomycota	Agaricomycetes	Thelephorales	Thelephoraceae	f_Thelephoraceae	ASV16036
ASV16037	Fungi	Ascomycota	Dothideomycetes	Pleosporales	Phaeosphaeriaceae	Setophoma	ASV16037
ASV16038	Fungi	Ascomycota	Saccharomycetes	Saccharomycetales	Metschnikowiaceae	Metschnikowia	ASV16038
ASV16039	Fungi	Ascomycota	Sordariomycetes	Hypocreales	Stachybotryaceae	f_Stachybotryaceae	ASV16039
ASV16040	Fungi	k_Fungi	k_Fungi	k_Fungi	k_Fungi	k_Fungi	ASV16040
ASV16041	Fungi	Ascomycota	Sordariomycetes	Hypocreales	Hypocreales_fam_Incertae_sedis	Acremonium	ASV16041
ASV16042	Fungi	Ascomycota	p_Ascomycota	p_Ascomycota	p_Ascomycota	p_Ascomycota	ASV16042
ASV16043	Fungi	Basidiomycota	Agaricomycetes	Agaricales	o_Agaricales	o_Agaricales	ASV16043
ASV16044	Fungi	Ascomycota	p_Ascomycota	p_Ascomycota	p_Ascomycota	p_Ascomycota	ASV16044
ASV16045	Fungi	k_Fungi	k_Fungi	k_Fungi	k_Fungi	k_Fungi	ASV16045
ASV16046	Fungi	k_Fungi	k_Fungi	k_Fungi	k_Fungi	k_Fungi	ASV16046
ASV16047	Fungi	Glomeromycota	Glomeromycetes	Glomerales	o_Glomerales	o_Glomerales	ASV16047
ASV16048	Fungi	Ascomycota	p_Ascomycota	p_Ascomycota	p_Ascomycota	p_Ascomycota	ASV16048
