sample_id	LOC	SITE	TRAN	YEAR	AGE	TREAT	total_reads	total_asvs	coverage
AL_S68_T210_Y1_NEW_NP	AL	S68	T210	Y1	NEW	NP	79523	601	high (25-100k)
AL_S68_T210_Y4_NEW_NP	AL	S68	T210	Y4	NEW	NP	87265	679	high (25-100k)
AL_S68_T211_Y0_NEW_CTL	AL	S68	T211	Y0	NEW	CTL	75452	514	high (25-100k)
AL_S68_T211_Y1_NEW_CTL	AL	S68	T211	Y1	NEW	CTL	66213	620	high (25-100k)
AL_S68_T211_Y4_NEW_CTL	AL	S68	T211	Y4	NEW	CTL	92071	751	high (25-100k)
AL_S68_T212_Y0_NEW_N	AL	S68	T212	Y0	NEW	N	80218	606	high (25-100k)
AL_S68_T212_Y1_NEW_N	AL	S68	T212	Y1	NEW	N	87015	514	high (25-100k)
AL_S68_T212_Y4_NEW_N	AL	S68	T212	Y4	NEW	N	74918	687	high (25-100k)
AL_S69_T213_Y0_NEW_NP	AL	S69	T213	Y0	NEW	NP	37611	576	high (25-100k)
AL_S69_T213_Y1_NEW_NP	AL	S69	T213	Y1	NEW	NP	50622	508	high (25-100k)
AL_S69_T213_Y4_NEW_NP	AL	S69	T213	Y4	NEW	NP	65796	400	high (25-100k)
AL_S69_T214_Y0_NEW_CTL	AL	S69	T214	Y0	NEW	CTL	55349	402	high (25-100k)
AL_S69_T214_Y1_NEW_CTL	AL	S69	T214	Y1	NEW	CTL	43383	322	high (25-100k)
AL_S69_T214_Y4_NEW_CTL	AL	S69	T214	Y4	NEW	CTL	72699	626	high (25-100k)
AL_S69_T215_Y0_NEW_P	AL	S69	T215	Y0	NEW	P	112050	619	extra_high (> 100k)
AL_S69_T215_Y1_NEW_P	AL	S69	T215	Y1	NEW	P	78378	317	high (25-100k)
AL_S69_T215_Y4_NEW_P	AL	S69	T215	Y4	NEW	P	65741	491	high (25-100k)
AL_S69_T216_Y0_NEW_N	AL	S69	T216	Y0	NEW	N	72454	707	high (25-100k)
AL_S69_T216_Y1_NEW_N	AL	S69	T216	Y1	NEW	N	57627	423	high (25-100k)
AL_S69_T216_Y4_NEW_N	AL	S69	T216	Y4	NEW	N	60354	854	high (25-100k)
AR_S07_T013_Y0_YNG_CTL	AR	S07	T013	Y0	YNG	CTL	68454	757	high (25-100k)
AR_S07_T013_Y1_YNG_CTL	AR	S07	T013	Y1	YNG	CTL	51366	459	high (25-100k)
AR_S07_T013_Y4_YNG_CTL	AR	S07	T013	Y4	YNG	CTL	73044	811	high (25-100k)
AR_S07_T240_Y0_YNG_P	AR	S07	T240	Y0	YNG	P	73377	609	high (25-100k)
AR_S07_T240_Y1_YNG_P	AR	S07	T240	Y1	YNG	P	64233	689	high (25-100k)
AR_S07_T240_Y4_YNG_P	AR	S07	T240	Y4	YNG	P	76160	796	high (25-100k)
AR_S07_T241_Y0_YNG_NP	AR	S07	T241	Y0	YNG	NP	44940	606	high (25-100k)
AR_S07_T241_Y1_YNG_NP	AR	S07	T241	Y1	YNG	NP	63060	526	high (25-100k)
AR_S07_T241_Y4_YNG_NP	AR	S07	T241	Y4	YNG	NP	95070	716	high (25-100k)
AR_S07_T242_Y0_YNG_N	AR	S07	T242	Y0	YNG	N	66028	776	high (25-100k)
