sample_id,LOC,SITE,TRAN,YEAR,AGE,TREAT,total_reads,total_asvs,coverage
AL_S68_T210_Y1_NEW_NP,AL,S68,T210,Y1,NEW,NP,113926,2508,extra_high (> 100k)
AL_S68_T210_Y4_NEW_NP,AL,S68,T210,Y4,NEW,NP,115732,2231,extra_high (> 100k)
AL_S68_T211_Y0_NEW_CTL,AL,S68,T211,Y0,NEW,CTL,129530,1469,extra_high (> 100k)
AL_S68_T211_Y4_NEW_CTL,AL,S68,T211,Y4,NEW,CTL,160204,2364,extra_high (> 100k)
AL_S68_T212_Y0_NEW_N,AL,S68,T212,Y0,NEW,N,108441,1366,extra_high (> 100k)
AL_S68_T212_Y1_NEW_N,AL,S68,T212,Y1,NEW,N,105675,1938,extra_high (> 100k)
AL_S68_T212_Y4_NEW_N,AL,S68,T212,Y4,NEW,N,151544,1981,extra_high (> 100k)
AL_S69_T213_Y0_NEW_NP,AL,S69,T213,Y0,NEW,NP,113800,1481,extra_high (> 100k)
AL_S69_T213_Y1_NEW_NP,AL,S69,T213,Y1,NEW,NP,105516,2485,extra_high (> 100k)
AL_S69_T213_Y4_NEW_NP,AL,S69,T213,Y4,NEW,NP,118861,1852,extra_high (> 100k)
AL_S69_T214_Y0_NEW_CTL,AL,S69,T214,Y0,NEW,CTL,117100,1393,extra_high (> 100k)
AL_S69_T214_Y4_NEW_CTL,AL,S69,T214,Y4,NEW,CTL,147891,2261,extra_high (> 100k)
AL_S69_T215_Y0_NEW_P,AL,S69,T215,Y0,NEW,P,98884,1382,high (25-100k)
AL_S69_T215_Y4_NEW_P,AL,S69,T215,Y4,NEW,P,96077,2185,high (25-100k)
AL_S69_T216_Y0_NEW_N,AL,S69,T216,Y0,NEW,N,131060,1583,extra_high (> 100k)
AL_S69_T216_Y1_NEW_N,AL,S69,T216,Y1,NEW,N,110541,2295,extra_high (> 100k)
AL_S69_T216_Y4_NEW_N,AL,S69,T216,Y4,NEW,N,122183,2200,extra_high (> 100k)
AR_S07_T013_Y0_YNG_CTL,AR,S07,T013,Y0,YNG,CTL,136494,1699,extra_high (> 100k)
AR_S07_T013_Y1_YNG_CTL,AR,S07,T013,Y1,YNG,CTL,97030,2122,high (25-100k)
AR_S07_T013_Y4_YNG_CTL,AR,S07,T013,Y4,YNG,CTL,90056,2147,high (25-100k)
AR_S07_T240_Y0_YNG_P,AR,S07,T240,Y0,YNG,P,155747,1449,extra_high (> 100k)
AR_S07_T240_Y1_YNG_P,AR,S07,T240,Y1,YNG,P,114968,2275,extra_high (> 100k)
AR_S07_T240_Y4_YNG_P,AR,S07,T240,Y4,YNG,P,116085,1988,extra_high (> 100k)
AR_S07_T241_Y0_YNG_NP,AR,S07,T241,Y0,YNG,NP,156448,1443,extra_high (> 100k)
AR_S07_T241_Y1_YNG_NP,AR,S07,T241,Y1,YNG,NP,94198,1596,high (25-100k)
AR_S07_T241_Y4_YNG_NP,AR,S07,T241,Y4,YNG,NP,88527,1585,high (25-100k)
AR_S07_T242_Y0_YNG_N,AR,S07,T242,Y0,YNG,N,133855,1430,extra_high (> 100k)
AR_S07_T242_Y1_YNG_N,AR,S07,T242,Y1,YNG,N,111365,1960,extra_high (> 100k)
AR_S07_T242_Y4_YNG_N,AR,S07,T242,Y4,YNG,N,141775,1882,extra_high (> 100k)
AR_S11_T022_Y0_OLD_CTL,AR,S11,T022,Y0,OLD,CTL,100601,1520,extra_high (> 100k)
AR_S11_T022_Y1_OLD_CTL,AR,S11,T022,Y1,OLD,CTL,105958,2130,extra_high (> 100k)
AR_S11_T022_Y4_OLD_CTL,AR,S11,T022,Y4,OLD,CTL,137400,2352,extra_high (> 100k)
AR_S11_T224_Y0_OLD_NP,AR,S11,T224,Y0,OLD,NP,132474,1494,extra_high (> 100k)
AR_S11_T224_Y1_OLD_NP,AR,S11,T224,Y1,OLD,NP,106762,2553,extra_high (> 100k)
AR_S11_T224_Y4_OLD_NP,AR,S11,T224,Y4,OLD,NP,134926,2744,extra_high (> 100k)
AR_S11_T225_Y0_OLD_P,AR,S11,T225,Y0,OLD,P,94361,1493,high (25-100k)
AR_S11_T225_Y1_OLD_P,AR,S11,T225,Y1,OLD,P,112071,2241,extra_high (> 100k)
AR_S11_T225_Y4_OLD_P,AR,S11,T225,Y4,OLD,P,162573,3041,extra_high (> 100k)
AR_S11_T226_Y0_OLD_N,AR,S11,T226,Y0,OLD,N,258779,2326,extra_high (> 100k)
AR_S11_T226_Y1_OLD_N,AR,S11,T226,Y1,OLD,N,112104,2092,extra_high (> 100k)
